"","X2536.KZ.1.FS.count","X2536.KZ.10.FS.count","X2536.KZ.14.FS.count","X2536.KZ.16.FS.count"
"ZNF423",3.58447124570729,2.11727919521788,2.61419908288291,4.07836299543151
"ZNF425",2.40747497871042,1.83129409111911,1.32865067558831,0.79470704172504
"ZNF426",4.39276117346486,5.36329788230779,3.908981046881,5.83587033333488
"ZNF426-DT",-2.09760813214978,-1.82739910409141,-1.38204620481896,0.481288849189269
"ZNF428",2.80282718885187,2.26509536816337,2.19383288798901,3.28978691407779
"ZNF429",3.22529062417858,3.31558101888441,2.86464386214498,1.10979088737646
"ZNF43",4.45796567388464,3.93672200400154,5.91385072499024,3.3746866943857
"ZNF430",4.73139304269658,4.69041277144414,4.89043827701608,4.04914060068992
"ZNF431",6.89207013718,6.43233315767383,6.34081693617631,5.59932177364998
"ZNF432",5.18735976433341,4.29502001461684,4.31633435036531,4.32991940286982
"ZNF433",0.332045873902132,2.76199536945464,1.56709317360954,0.566253984484357
"ZNF433-AS1",2.6623425550098,3.55145793386692,2.96337050518471,1.58735574895266
"ZNF436",6.03147734455983,6.04154018212757,5.14563607625476,5.56875963095638
"ZNF436-AS1",4.18592848179073,3.92688822675746,2.73090320924745,3.07463186802119
"ZNF438",3.15711791764695,4.61280050955681,3.98732582746671,3.86855335371152
"ZNF439",2.95111045320795,2.95820718292845,4.42426657463299,2.25801794610761
"ZNF44",4.24869511274824,4.99572818269053,4.68516910331196,3.60298195951109
"ZNF440",4.82773495363123,6.66973863271938,5.07563431858034,5.3703980364048
"ZNF441",2.88941681627618,3.43139597191388,3.74519727411362,3.11749381754101
"ZNF442",0.450704963448255,2.50870116437161,2.4017746197088,1.66646037621002
"ZNF443",3.77278627642307,3.85610844115396,3.13203611225645,1.97691405532098
"ZNF444",4.86293558769744,4.4745047230668,4.86192870894039,4.019314035239
"ZNF445",6.59150078247352,7.02122416788243,6.68440091331732,6.26236725555922
"ZNF446",3.05778813137927,3.36010819504267,2.81262570768617,2.20600901932413
"ZNF449",3.72059942917279,4.62805379174009,4.46274644334157,3.88518548971076
"ZNF45",4.12477529062466,3.63234858503114,4.16378626996055,4.88318004279349
"ZNF451",7.56694428655271,7.63715845007725,8.1555725268259,7.53196590763956
"ZNF454",-1.54980588106307,2.26509536816337,1.17231907807389,1.27034640103147
"ZNF460",7.70353952094242,7.43388873870133,7.21812669549624,6.73110753174883
"ZNF460-AS1",2.30093255607466,1.33245633382162,2.02123613980174,0.991880946612263
"ZNF461",4.06091474502577,2.93876583751146,2.82580713601758,3.07463186802119
"ZNF462",7.78626450539318,8.06911343527933,6.34882906883702,6.02785090972247
