"","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9"
"CNTN3",0.280181666396444,-4.04322659709208,0.390639331770205,0.579059050631626,-0.498991092246585,-0.197698094018709,-1.46802411004783,0.685531863097168,-2.63474898957051,-0.139770847558465,-0.985686779239478,-2.17552963625139,-2.14788559906924,-1.15440850144814,-0.469236074561263,-2.96501197164456,0.467423019996486,2.03604960072692
"CNTN4",1.29191624565386,-2.85994695097828,1.7708605154075,2.01834495860814,-0.873384245533266,0.451779564993729,-1.88240888353285,1.74219654803679,-1.33941053408604,0.987475254455849,-1.06728979478034,-2.6704431892332,4.38191572559623,-1.64512540964926,0.333391245307045,-1.33016702589083,0.381302656337277,-4.04322659709209
"CNTN5",-2.17373912709571,0.748035879705964,-1.87051702853583,0.375354443004444,-3.12573251251492,-4.04322659709208,-0.661508841035606,1.76918367092442,-2.63474898957051,-2.51725115804126,-2.32547934528196,-3.42979012851123,-4.04322659709209,-3.26767178057907,-0.388916914320313,-2.96501197164456,-2.46725138694169,-2.06089652100808
"CNTNAP1",4.71995638219726,2.34237842694303,3.1264907675271,3.46580095178017,3.46359453770347,3.42223918650114,1.2851939721665,2.78301726573812,1.48737120563331,1.75853062948173,3.21420341551146,3.4705434478182,4.66363256140616,4.1923088241689,2.96239702017448,4.25332656988458,3.74853848883015,4.49274183347774
"CNTNAP2",5.52336501638999,1.61687057175605,4.28789409092067,6.86960369030575,5.81345185454651,-0.905344934710709,-1.88240888353285,3.78988463662965,-0.00385624882434989,1.73754293548289,-1.97115044970197,6.12063898200385,5.3926210670045,-1.85443284728513,-0.741107827299281,5.91395545774066,-0.782307486079432,4.38031650856805
"CNTNAP3",-0.399279740162225,2.69130312764622,1.60413726775759,2.49902213590018,-2.56935491619851,-0.967562467254484,1.19329059456924,1.75575321136309,-1.01292606090695,-0.998708387301072,-1.24580217831944,0.792432305173376,0.329775453289076,-0.0478494261450583,1.06149036231599,-0.909013765915178,3.02018746254111,2.15679584174037
"CNTNAP3B",1.33857891341675,3.23086586514858,1.71350304660764,2.07717525123235,-1.0234085573157,0.427810600177059,1.97865608795164,2.1125534567856,0.61595651060833,-0.998708387301072,0.667247256785239,1.60870372138987,0.77444728477364,0.0755076872616425,1.62275433401624,-1.10427671025345,2.90144980504623,2.48800712984062
"CNTRL",5.50217048276292,5.54293447002785,6.04399480701665,6.06670355365204,6.10713299365752,5.38298476788404,4.77162784517947,4.70870803217891,4.92292782400379,5.92370027583114,5.43997595775771,5.3396416751022,6.08120567756009,5.11819289983672,4.63657241804374,5.54672298856848,4.94047741202127,5.59979881289501
"CNTROB",5.71387713068857,5.82383351554869,5.22947345986475,4.4544574083573,5.58299798586909,5.32495731725462,5.58711985896661,4.78341239763075,4.94972359379408,5.44518229391639,5.94030739405523,5.90001003286315,6.14985831202507,6.0620499637944,5.67039330392681,5.23691528056419,5.61394427824343,6.08872703393366
"COA5",4.35413490698501,4.96367009712173,5.221266281325,4.68471181904702,4.58320091434688,5.02290384327751,5.016537673517,4.253574377857,4.87767896982497,4.38612718854696,4.50598570489747,4.77169035566695,5.24352216894481,4.92667594792314,4.54497602119954,4.43964712527119,4.87895526746141,5.00467168636493
"COASY",6.30906388803677,6.4004030121633,6.17989627052213,5.39098568165255,5.70803861420562,6.38193587765172,5.76684042297438,5.99687025216238,6.49584102593238,5.87927861944969,6.50132643970736,6.30552565992721,6.70733187439984,7.21561606987703,6.45643718796477,6.05520810711652,6.61127825788489,5.53363967177108
"COBL",0.146691112894524,0.874742608242072,0.796277769240835,0.278402532856572,-2.00376859669584,-1.49973084535031,-1.05347634898859,2.64413633635426,-1.46701726386295,-0.998708387301072,-3.10536278370405,3.6803997179985,-2.43912005267292,2.96948380145847,-1.69530404841538,-1.33016702589083,-1.39162328621805,0.475560147147549
"COBLL1",4.69626288915152,6.225662284201,4.59628838724354,5.24574713144291,3.83183286800165,8.18362932097245,7.13055341496557,6.34511148723376,6.69530072227701,7.17646964616308,6.14155675454039,4.2929613867664,3.26752921505237,7.09868542493076,5.82257602004204,4.33269735878416,6.86784347052822,4.44272265660846
