"","all_genes_used"
"1083","BACE1-AS"
"1084","CHRNA5"
"1085","TPPP"
"1086","DNAJC24"
"1087","LINC00163"
"1088","ALDH1B1"
"1089","HS1BP3"
"1090","MCM2"
"1091","LY6G6C"
"1092","TSPYL5"
"1093","PQLC2"
"1094","KAT7"
"1095","ITGA5"
"1096","ZFP14"
"1097","DDX17"
"1098","LYPD1"
"1099","RPP38"
"1100","HIST1H2AM"
"1101","PYCRL"
"1102","IDH3A"
"1103","ODC1"
"1104","CCDC51"
"1105","EFCAB5"
"1106","STRA13"
"1107","ZNF280A"
"1108","LOC440896"
"1109","COL9A3"
"1110","TAF12"
"1111","PAPLN"
"1112","TCF3"
"1113","UPF3A"
"1114","KLHL15"
"1115","SYTL2"
"1116","RFX3"
"1117","ATPBD4"
"1118","MRPL16"
"1119","ATP7B"
"1120","LOC255167"
"1121","ST6GALNAC3"
"1122","CCDC104"
"1123","KHDC1"
"1124","SAT1"
"1125","SLC47A2"
"1126","FAM83G"
"1127","NFATC2"
"1128","SAMD11"
"1129","UTP11L"
"1130","FAM168B"
"1131","TUBA3E"
"1132","ARL5A"
"1133","LOC100506497"
"1134","PIP4K2A"
"1135","CTH"
"1136","CAMK1G"
"1137","MRPS18C"
"1138","GJC1"
"1139","XRN1"
"1140","FAM22F"
"1141","ZNF462"
"1142","TTC21B"
"1143","LOC653160"
"1144","IGF2R"
"1145","PVT1"
"1146","LOC100130899"
"1147","POC1A"
"1148","KCNE1L"
"1149","PHKG2"
"1150","BPGM"
"1151","C1QL3"
"1152","GBAS"
"1153","TLR4"
"1154","LOC100507501"
"1155","XCR1"
"1156","TRAF3IP1"
"1157","ZCCHC11"
"1158","HIST1H4I"
"1159","RARRES2"
"1160","RCE1"
"1161","TARP"
"1162","LOC440894"
"1163","KCNH1"
"1164","VPS8"
"1165","ACBD5"
"1166","CANT1"
"1167","NTN1"
"1168","RNASEH2A"
"1169","ATXN7L1"
"1170","DIRC1"
"1171","ELOVL3"
"1172","STAU2"
"1173","ALOX5"
"1174","SLC9A1"
"1175","FAM174B"
"1176","MCC"
"1177","MRPL54"
"1178","USP42"
"1179","TIMM23"
"1180","FAM115C"
"1181","MRPL53"
"1182","ZNF524"
"1183","LCA5"
"1184","SLC37A2"
"1185","CHDH"
"1186","PLEKHF1"
"1187","KIF16B"
"1188","GCH1"
"1189","MOB3A"
"1190","ABCA9"
"1191","IFT88"
"1192","KRT81"
"1193","MGC72080"
"1194","C14orf80"
"1195","NUPR1"
"1196","ZNF890P"
"1197","PTGER3"
"1198","ZNF483"
"1199","ZNF181"
"1200","TMEM88B"
"1201","LACC1"
"1202","ATN1"
"1203","MYBPHL"
"1204","CTGF"
"1205","RDH12"
"1206","LIG4"
"1207","LPL"
"1208","ZRANB2-AS1"
"1209","ATP5I"
"1210","STX17"
"1211","PGAM5"
"1212","CDC123"
"1213","ARMCX2"
"1214","PLTP"
"1215","TMEM31"
"1216","FDX1"
"1217","PTPRN"
"1218","NUP50"
"1219","SPG21"
"1220","ZC3H12B"
"1221","KCNE4"
"1222","LOC100507410"
"1223","EPB41L5"
"1224","CHMP2B"
"1225","DLX1"
"1226","CDCA7"
"1227","NUP37"
"1228","NAT2"
"1229","GABRA5"
"1230","SCG3"
"1231","FLJ39534"
"1232","VEGFC"
"1233","ZNF385B"
"1234","SLMO1"
"1235","CTPS2"
"1236","AP3S1"
"1237","CKS2"
"1238","JOSD1"
"1239","UBA5"
"1240","ARL13A"
"1241","AGAP6"
"1242","APH1A"
"1243","ATP6V0A2"
"1244","UHRF1"
"1245","OPRL1"
"1246","ZBTB24"
"1247","NINL"
"1248","ATL3"
"1249","PGF"
"1250","LOC100131551"
"1251","RXFP1"
"1252","FBXW8"
"1253","MEFV"
"1254","RPL28"
"1255","SYNM"
"1256","STK35"
"1257","FAM21C"
"1258","C15orf27"
"1259","NBPF14"
"1260","FOXP2"
"1261","NMNAT3"
"1262","SART3"
"1263","ST3GAL6"
"1264","RPP14"
"1265","TUSC1"
"1266","NHLH2"
"1267","VDR"
"1268","TLK1"
"1269","CLEC4G"
"1270","VPS52"
"1271","ASTN1"
"1272","RANBP6"
"1273","TMEM45B"
"1274","TRAPPC4"
"1275","RNF126"
"1276","TSPAN18"
"1277","POLDIP3"
"1278","ZNF425"
"1279","B4GALT5"
"1280","SELP"
"1281","SCARNA5"
"1282","OTOP1"
"1283","CDYL"
"1284","ESRRG"
"1285","CCNA2"
"1286","ZNF799"
"1287","CDC14A"
"1288","PDS5A"
"1289","SEMA3A"
"1290","GUCY2D"
"1291","IGFL4"
"1292","GALNT6"
"1293","GTF2IRD1"
"1294","RIC8A"
"1295","BCAS4"
"1296","OLFM4"
"1297","IFIT5"
"1298","ECM2"
"1299","SCARA5"
"1300","R3HDM2"
"1301","LOC646719"
"1302","HDAC4"
"1303","FLJ42393"
"1304","OTUD7B"
"1305","RASAL2"
"1306","DCAF4"
"1307","LRRC37B"
"1308","C8orf80"
"1309","CNIH2"
"1310","C17orf69"
"1311","MID2"
"1312","LOC100132774"
"1313","MIR3648"
"1314","RASGRF1"
"1315","IMPG1"
"1316","SLC35B4"
"1317","TRPC4"
"1318","KIAA1383"
"1319","PCYT2"
"1320","KRT36"
"1321","NFIC"
"1322","HSD17B10"
"1323","SH2D2A"
"1324","KIAA1656"
"1325","ERCC3"
"1326","ATP5D"
"1327","CARD14"
"1328","RASGRP2"
"1329","SHARPIN"
"1330","KIAA1804"
"1331","SNX22"
"1332","DNAJB4"
"1333","DDX58"
"1334","UNC5C"
"1335","LAMA3"
"1336","FAM111A"
"1337","ADRA2B"
"1338","PRSS12"
"1339","PVRL3"
"1340","RNPC3"
"1341","PPP1R3F"
"1342","FMO6P"
"1343","EPHX3"
"1344","ARSG"
"1345","UBE2G2"
"1346","DUSP10"
"1347","OTOP2"
"1348","PDIA4"
"1349","CEP164"
"1350","MYH14"
"1351","PARP9"
"1352","C6orf47"
"1353","PDHB"
"1354","SDF2"
"1355","AKR1C1"
