"","all_genes_used"
"10139","C19orf51"
"10140","PNPLA6"
"10141","RNF185"
"10142","POU6F2"
"10143","MR1"
"10144","ENAH"
"10145","SPRYD3"
"10146","MED15"
"10147","ZNF613"
"10148","PSMA8"
"10149","PARK7"
"10150","TMEM56-RWDD3"
"10151","ZNF580"
"10152","ZNF408"
"10153","NMNAT1"
"10154","DNAJB5"
"10155","SKP2"
"10156","PPP1R21"
"10157","ZNF707"
"10158","SNRNP35"
"10159","MAEA"
"10160","SLC28A3"
"10161","KIAA1522"
"10162","ALK"
"10163","ZNF572"
"10164","AK1"
"10165","TMEM35"
"10166","SPDYE6"
"10167","TC2N"
"10168","MED13"
"10169","TTC14"
"10170","ANKRD36BP1"
"10171","BCL3"
"10172","ODF3L2"
"10173","FTO"
"10174","DEFB4B"
"10175","GALNT14"
"10176","ZNF658"
"10177","NUDCD1"
"10178","EIF3H"
"10179","ASNS"
"10180","FAM108A1"
"10181","TUBGCP4"
"10182","UFL1"
"10183","NDUFA1"
"10184","MLLT1"
"10185","CTDNEP1"
"10186","IGFALS"
"10187","LOC375196"
"10188","TSG101"
"10189","WDR87"
"10190","EFCAB1"
"10191","PBRM1"
"10192","NAPSA"
"10193","HNRNPA3"
"10194","INTS2"
"10195","ZNF461"
"10196","DNAJC11"
"10197","NLGN4X"
"10198","CYP2A6"
"10199","TESK2"
"10200","PIK3R3"
"10201","PCDH7"
"10202","GNB4"
"10203","PRDM1"
"10204","CD109"
"10205","SUN2"
"10206","SAT2"
"10207","SRPX2"
"10208","DOK4"
"10209","XPO7"
"10210","EIF2D"
"10211","SP2"
"10212","SLC38A9"
"10213","KPNA6"
"10214","CFTR"
"10215","LOC399753"
"10216","FBXO11"
"10217","GSTM3"
"10218","STX18"
"10219","MB21D2"
"10220","RPL7A"
"10221","IGFBP6"
"10222","KIAA1239"
"10223","AHR"
"10224","PIK3C3"
"10225","MAPRE1"
"10226","SARNP"
"10227","PARS2"
"10228","CERCAM"
"10229","C7orf49"
"10230","DYNLL2"
"10231","ZNF616"
"10232","EME2"
"10233","CALCOCO2"
"10234","NLE1"
"10235","HBXIP"
"10236","AIFM1"
"10237","FTH1"
"10238","NBL1"
"10239","TSHZ2"
"10240","FCGR3A"
"10241","PPP1R3C"
"10242","ZDHHC23"
"10243","FBLN7"
"10244","UBAC2"
"10245","CROT"
"10246","NRTN"
"10247","MKRN1"
"10248","SNTN"
"10249","MSH5"
"10250","NTF4"
"10251","ZBTB43"
"10252","TP53TG1"
"10253","GPKOW"
"10254","ZNF528"
"10255","LINC00260"
"10256","EPHA6"
"10257","GHRLOS"
"10258","MAPK10"
"10259","GON4L"
"10260","ZSWIM4"
"10261","FHL2"
"10262","FAM73B"
"10263","TMEM135"
"10264","REL"
"10265","MOV10L1"
"10266","BUB1"
"10267","NTSR1"
"10268","GNA13"
"10269","SOLH"
"10270","ASB16"
"10271","ZNF367"
"10272","EIF2AK2"
"10273","MOB4"
"10274","PTCHD2"
"10275","ST8SIA6"
"10276","SDCBP"
"10277","MCM3AP-AS1"
"10278","CPT1A"
"10279","LY6E"
"10280","ZSWIM1"
"10281","LOC100302650"
"10282","RRN3P3"
"10283","MBD1"
"10284","LINC00266-1"
"10285","SPINK1"
"10286","LTK"
"10287","PADI3"
"10288","LINC00284"
"10289","EIF1"
"10290","AXIN1"
"10291","UBA3"
"10292","CLCN7"
"10293","NFASC"
"10294","TAX1BP1"
"10295","KIAA0090"
"10296","BRF2"
"10297","KIAA1598"
"10298","TSHZ3"
"10299","NOSIP"
"10300","HHIPL2"
"10301","DPYD"
"10302","IL19"
"10303","ZNF579"
"10304","ACP5"
"10305","MYO19"
"10306","IGLON5"
"10307","FAM90A1"
"10308","ZC3H15"
"10309","FYCO1"
"10310","C9orf37"
"10311","ONECUT2"
"10312","REM2"
"10313","RPS14"
"10314","DCDC2"
"10315","IFT20"
"10316","ATP13A5"
"10317","TRIM46"
"10318","ZNF500"
"10319","ZNF597"
"10320","TMEM30A"
"10321","EEF2K"
"10322","FOXJ3"
"10323","C16orf55"
"10324","SEPT12"
"10325","SSPO"
"10326","KIAA0494"
"10327","CLLU1OS"
"10328","C6orf223"
"10329","ERCC4"
"10330","LOC100505648"
"10331","JMY"
"10332","TRIP11"
"10333","MFF"
"10334","SLC25A3"
"10335","NARF"
"10336","HMGN1"
"10337","UNK"
"10338","UBE2R2"
"10339","MYO9A"
"10340","NDC80"
"10341","LRRC29"
"10342","BTBD2"
"10343","SPOCD1"
"10344","HAMP"
"10345","RPS4X"
"10346","MED26"
"10347","C16orf59"
"10348","MYH16"
"10349","EYA3"
"10350","C19orf45"
"10351","LHX4"
"10352","LOC100505876"
"10353","TMEM71"
"10354","LOC400927"
"10355","CUTC"
"10356","ZNF816"
"10357","ALKBH5"
"10358","N4BP2L2"
"10359","DDX60"
"10360","GPC2"
"10361","LOC100507423"
"10362","CN5H6.4"
"10363","LOC730755"
"10364","LINC00514"
"10365","XPO6"
"10366","HOXD8"
"10367","STRA6"
"10368","RAVER2"
"10369","LOC100527964"
"10370","CATSPER2P1"
"10371","MAP2K4"
"10372","NHLRC2"
"10373","SLC6A7"
"10374","IREB2"
"10375","HILS1"
"10376","MBD3"
"10377","SGK494"
"10378","LOC100505912"
"10379","TNFAIP8"
"10380","EGR4"
"10381","OVOL2"
"10382","TM7SF4"
"10383","ZNF214"
"10384","EEF1B2"
"10385","LRRC36"
"10386","HAPLN2"
"10387","TMC1"
"10388","HLA-E"
"10389","ARRDC3"
"10390","NUCB1"
"10391","LGALS4"
"10392","NDE1"
"10393","OSTC"
"10394","LINC00184"
"10395","SDAD1"
"10396","TSPAN33"
"10397","BRWD3"
"10398","WRAP53"
"10399","UTP3"
"10400","MTSS1"
"10401","ZFR2"
"10402","ZNF543"
"10403","C3orf72"
"10404","FBXO7"
"10405","TPTE2"
"10406","MMP23B"
"10407","RFX2"
"10408","CRIP1"
"10409","FABP3"
"10410","MSH5-SAPCD1"
"10411","CNTN1"
"10412","TSPAN3"
"10413","AGSK1"
"10414","HSD17B7P2"
"10415","C9orf46"
"10416","ALG11"
"10417","NAA60"
"10418","SFPQ"
"10419","EYS"
"10420","C20orf194"
"10421","SLN"
"10422","NACC2"
"10423","THAP7-AS1"
"10424","FLJ22184"
"10425","ZSWIM6"
"10426","FOXA2"
"10427","C17orf63"
"10428","PREB"
"10429","LOC100132215"
"10430","MSLNL"
"10431","GLOD4"
"10432","BRIP1"
"10433","GALC"
"10434","CEP95"
"10435","TRMT12"
"10436","FAM102B"
"10437","HCG23"
"10438","ZNF670"
"10439","SNORA70"
"10440","CTNNA1"
"10441","MAP4K3"
"10442","PRRC2A"
"10443","RAC3"
"10444","LGI4"
"10445","PTMA"
"10446","BEND7"
"10447","CCDC34"
"10448","SLC9A3R2"
"10449","FAM89B"
"10450","LINC00471"
"10451","LRIF1"
"10452","RBM14-RBM4"
"10453","UPK3BL"
"10454","YPEL4"
"10455","DPEP2"
"10456","SHISA6"
"10457","POT1"
"10458","PLAGL2"
"10459","TET1"
"10460","EIF3E"
"10461","TAB3"
"10462","C7orf60"
"10463","HKDC1"
"10464","MSRB2"
"10465","USP54"
"10466","LOC399744"
"10467","BTBD19"
"10468","PAK4"
"10469","GALK1"
"10470","E4F1"
"10471","EGLN3"
"10472","MIPOL1"
"10473","ZBTB7A"
"10474","ILF2"
"10475","ELL3"
"10476","PDZD2"
"10477","NCK2"
"10478","SLC24A6"
"10479","ZNF878"
"10480","ZNF507"
"10481","PEX16"
"10482","EIF4H"
"10483","NKAIN1"
"10484","TTC28-AS1"
"10485","MCCC2"
"10486","CAND2"
"10487","HJURP"
"10488","IDAS"
"10489","WDR24"
"10490","TNFRSF10A"
"10491","C1QL4"
"10492","CHKB"
"10493","C7orf10"
"10494","CLTCL1"
"10495","MIRLET7BHG"
"10496","RBM25"
"10497","MAD2L1BP"
"10498","FZD6"
"10499","KLRG2"
"10500","CSNK1G2"
"10501","DHX35"
"10502","SNHG5"
"10503","FGD4"
"10504","EDF1"
"10505","KLK4"
"10506","CLUAP1"
"10507","HEXIM1"
"10508","FBXO39"
"10509","KDM6B"
"10510","FAM50A"
"10511","FAM116A"
"10512","PSMA3"
"10513","ESRG"
"10514","PHF19"
"10515","CA14"
"10516","KANSL2"
"10517","EXTL3"
"10518","ATG12"
"10519","TRMU"
"10520","WDR85"
"10521","PCDHB18"
"10522","LACE1"
"10523","ELAC2"
"10524","RHOBTB3"
"10525","BBX"
"10526","PABPC1L"
"10527","ULK4"
"10528","LOC100289341"
"10529","AKAP8"
"10530","ZFP42"
"10531","DNAJB12"
"10532","PIBF1"
"10533","RBBP6"
"10534","KAT2B"
"10535","SH3PXD2B"
"10536","MIR17HG"
"10537","C4orf49"
"10538","HAGH"
"10539","ZFAND5"
"10540","COG6"
"10541","NUDCD2"
"10542","IRF9"
"10543","GAGE12J"
"10544","KLK1"
"10545","CHMP4A"
"10546","RIOK2"
"10547","TDO2"
"10548","TRPM6"
"10549","SC5DL"
"10550","RPS16P5"
"10551","TMEM216"
"10552","ARHGAP1"
"10553","TNNC2"
"10554","CAND1"
"10555","AKIP1"
"10556","ROCK1P1"
"10557","TUBA1B"
"10558","LOC80054"
"10559","CLMN"
"10560","MMP20"
"10561","CSRP3"
"10562","CCDC117"
"10563","BTBD17"
"10564","LOC100506054"
"10565","HUS1"
"10566","USP33"
"10567","F8A1"
"10568","PRPH"
"10569","INE1"
"10570","TROVE2"
"10571","TRPV4"
"10572","TMED8"
"10573","MFAP2"
"10574","KIAA0889"
"10575","TMF1"
"10576","ESR1"
"10577","CNST"
"10578","ARNT"
"10579","LCE1B"
"10580","MARS2"
"10581","INTS4"
"10582","ALKBH4"
"10583","HOXC13"
"10584","SEPT9"
"10585","CTAGE9"
"10586","CHFR"
"10587","RHEB"
"10588","THRA"
"10589","SLC25A29"
"10590","CEP57L1"
"10591","FURIN"
"10592","C6orf99"
"10593","FAM173B"
"10594","CEACAM20"
"10595","CRKL"
"10596","MMGT1"
"10597","DBC1"
"10598","CAB39L"
"10599","RHBDL1"
"10600","EFTUD2"
"10601","CD164L2"
"10602","PTER"
"10603","TARDBP"
"10604","LOC100288181"
"10605","LOC100132526"
"10606","FSCN2"
"10607","LOC729683"
"10608","CROCCP2"
"10609","TMEM198"
"10610","C11orf74"
"10611","POLD1"
"10612","LOC574538"
"10613","RRP12"
"10614","CXorf57"
"10615","TIMELESS"
"10616","RPS24"
"10617","TMEM126A"
"10618","LOC100131289"
"10619","ANKRD20A5P"
"10620","CLEC5A"
"10621","CDKL4"
"10622","ERCC2"
"10623","HPCAL4"
"10624","LOC100499466"
"10625","EMILIN3"
"10626","SPATA2"
"10627","FBXO40"
"10628","BANP"
"10629","CCDC168"
"10630","EPO"
"10631","SH3PXD2A"
"10632","SIN3A"
"10633","HMGCS2"
"10634","DALRD3"
"10635","TM9SF3"
"10636","B3GALT5"
"10637","ZADH2"
"10638","TAF10"
"10639","TMEM74B"
"10640","CCAR1"
"10641","TAF6"
"10642","NT5C3"
"10643","ZC3H4"
"10644","LOC100271836"
"10645","DDX19B"
"10646","EFTUD1"
"10647","DPYSL3"
"10648","KRCC1"
"10649","THAP9"
"10650","TTC40"
"10651","CORO1B"
"10652","SLC43A3"
"10653","NFE2"
"10654","IL26"
"10655","STS"
"10656","DNAJC28"
"10657","FASTKD2"
"10658","TMEM200B"
"10659","APBB3"
"10660","DISP2"
"10661","ADAMTS3"
"10662","LOC153684"
"10663","GBP7"
"10664","PDXDC2P"
"10665","RAPGEF5"
"10666","USP48"
"10667","C9orf53"
"10668","HMGB1"
"10669","THBS3"
"10670","ATP6AP2"
"10671","MCM9"
"10672","AP1G2"
"10673","CRK"
"10674","IQCC"
"10675","PIGK"
"10676","YWHAH"
"10677","TRPM4"
"10678","TMEM191A"
"10679","C17orf96"
"10680","MGA"
"10681","ZBTB22"
"10682","ZBTB45"
"10683","LOC100129046"
"10684","ZGLP1"
"10685","PTPN18"
"10686","UQCRB"
"10687","ELL"
"10688","SPAG5"
"10689","CDKAL1"
"10690","FADS2"
"10691","RECQL4"
"10692","PRPSAP2"
"10693","LEPREL4"
"10694","HMGXB4"
"10695","LIM2"
"10696","ACSM1"
"10697","PLEKHM1P"
"10698","CASP8AP2"
"10699","PPM1B"
"10700","OSTalpha"
"10701","C17orf56"
"10702","MDFIC"
"10703","PIK3R2"
"10704","PGBD4"
"10705","PDZD4"
"10706","SNHG3"
"10707","THRB"
"10708","PDZRN3"
"10709","FIP1L1"
"10710","C9orf116"
"10711","KIF20A"
"10712","ANLN"
"10713","GRSF1"
"10714","OSBPL8"
"10715","IER3"
"10716","RPL17"
"10717","CSDE1"
"10718","PRIMA1"
"10719","CYB561D1"
"10720","MAPK8IP2"
"10721","MAFA"
"10722","C22orf13"
"10723","BTF3"
"10724","ZNF26"
"10725","LRIG2"
"10726","MPST"
"10727","PCSK6"
"10728","SMAD2"
"10729","C15orf59"
"10730","VSIG1"
"10731","ZNF585A"
"10732","ZNF433"
"10733","ZNF184"
"10734","FAH"
"10735","PSMA2"
"10736","MAP2K7"
"10737","PRORSD1P"
"10738","FAM43A"
"10739","CIRBP-AS1"
"10740","GSTO1"
"10741","NAB1"
"10742","AKIRIN2"
"10743","TLK2"
"10744","THNSL2"
"10745","ATAD1"
"10746","RPL30"
"10747","CCNB3"
"10748","PEX3"
"10749","SP1"
"10750","LASP1"
"10751","RBM7"
"10752","KLC1"
"10753","NLRP9"
"10754","COX6A2"
"10755","C16orf93"
"10756","NUDT1"
"10757","KLHDC7B"
"10758","FADD"
"10759","CDA"
"10760","PIGC"
"10761","C18orf32"
"10762","SRRM2"
"10763","WIPI2"
"10764","HPCAL1"
"10765","ZNF587B"
"10766","MRPL44"
"10767","ARG1"
"10768","PTMS"
"10769","EDEM3"
"10770","EPHA10"
"10771","C10orf95"
"10772","ARL2"
"10773","ILKAP"
"10774","PI4K2B"
"10775","LURAP1"
"10776","C1orf144"
"10777","PPP1R35"
"10778","POGK"
"10779","TCTEX1D1"
"10780","ARL16"
"10781","DAD1"
"10782","ECHDC3"
"10783","RBM14"
"10784","CCDC90A"
"10785","P2RX5-TAX1BP3"
"10786","SLC35A4"
"10787","GPR111"
"10788","POMZP3"
"10789","ABHD1"
"10790","C19orf6"
"10791","GLRA3"
"10792","QRSL1"
"10793","QRICH1"
"10794","B4GALT7"
"10795","MAN2C1"
"10796","SOWAHC"
"10797","STRAP"
"10798","PSD3"
"10799","TWISTNB"
"10800","FDPSL2A"
"10801","ANKRD34A"
"10802","CXorf40B"
"10803","MRPS5"
"10804","SLC35G5"
"10805","TNKS2"
"10806","FRS3"
"10807","ANKRD31"
"10808","NAGS"
"10809","LOC254128"
"10810","DUSP27"
"10811","PCMTD2"
"10812","ILF3"
"10813","HPS4"
"10814","GNPDA1"
"10815","SAA2"
"10816","IL1B"
"10817","NAA38"
"10818","AGTPBP1"
"10819","SPINK5"
"10820","GGNBP2"
"10821","LYPD2"
"10822","ZNF430"
"10823","RNF144B"
"10824","WDR52"
"10825","HMGN5"
"10826","TXNDC16"
"10827","SCRN1"
"10828","ABCB6"
"10829","PDIA3"
"10830","UHRF2"
"10831","COPS4"
"10832","MAVS"
"10833","FHL3"
"10834","PVRL1"
"10835","LAMP3"
"10836","TFIP11"
"10837","DIAPH2"
"10838","TMEM201"
"10839","ANKMY2"
"10840","NLRC5"
"10841","MLANA"
"10842","ZNF295"
"10843","CDX2"
"10844","RCOR3"
"10845","CPLX1"
"10846","GNG4"
"10847","FLJ33065"
"10848","KCTD21"
"10849","MNX1"
"10850","API5"
"10851","DPP6"
"10852","RSAD2"
"10853","RPL21P44"
"10854","C12orf47"
"10855","LHFPL4"
"10856","CCT4"
"10857","LOC285103"
"10858","ANGPTL6"
"10859","NR1D2"
"10860","OXGR1"
"10861","COL4A6"
"10862","AATF"
"10863","KRT31"
"10864","MYLK4"
"10865","TBP"
"10866","C2orf65"
"10867","ZNF446"
"10868","CPA5"
"10869","POM121"
"10870","MSL3P1"
"10871","PRRT2"
"10872","MFAP3"
"10873","UFM1"
"10874","NUPL1"
"10875","ZNF644"
"10876","STX8"
"10877","MYD88"
"10878","TP53BP1"
"10879","TRAPPC2P1"
"10880","RAB7L1"
"10881","ABHD8"
"10882","GMEB1"
"10883","TSKS"
"10884","SPDYA"
"10885","DGCR9"
"10886","LOC644714"
"10887","SCAF4"
"10888","NCOA6"
"10889","NGLY1"
"10890","XYLT2"
"10891","DRD5"
"10892","DISC1"
"10893","ZBTB48"
"10894","SUPT7L"
"10895","ATF3"
"10896","ZNF282"
"10897","PFN4"
"10898","PPAT"
"10899","PIK3C2G"
"10900","LEMD3"
"10901","CMTM8"
"10902","KLK14"
"10903","FBXO25"
"10904","NAF1"
"10905","ECT2L"
"10906","SPDYE1"
"10907","PI15"
"10908","C16orf87"
"10909","VPRBP"
"10910","TPT1"
"10911","GFER"
"10912","KCNJ2"
"10913","FGF9"
"10914","LOC100507217"
"10915","SOCS3"
"10916","ISG20"
"10917","LMAN2L"
"10918","ZNF213"
"10919","SARS"
"10920","SLC30A3"
"10921","FAM114A2"
"10922","YIPF6"
"10923","ELAVL2"
"10924","ANXA9"
"10925","ARL4A"
"10926","BEX4"
"10927","DCP1A"
"10928","NEU4"
"10929","SLC25A35"
"10930","RLBP1"
"10931","FBP1"
"10932","C1orf192"
"10933","RBFA"
"10934","GMCL1"
"10935","LEMD2"
"10936","AUH"
"10937","C1QA"
"10938","ITGA2"
"10939","ZNF764"
"10940","SLC35C1"
"10941","CPSF1"
"10942","CFB"
"10943","TRIM50"
"10944","ZMYND12"
"10945","TRAPPC8"
"10946","SYNGR3"
"10947","LOC200772"
"10948","SRRT"
"10949","MAP3K6"
"10950","SIAE"
"10951","PLA2G12A"
"10952","USP16"
"10953","LOC151534"
"10954","ZNF17"
"10955","LRTOMT"
"10956","DLEU2L"
"10957","RHOB"
"10958","EID3"
"10959","L3MBTL2"
"10960","AES"
"10961","HABP2"
"10962","ABHD15"
"10963","LOC283693"
"10964","ABCA4"
"10965","GAB1"
"10966","CDK11B"
"10967","DDX53"
"10968","UBN1"
"10969","FLJ37201"
"10970","SLC2A4RG"
"10971","HNF1A-AS1"
"10972","SIRT6"
"10973","TMED7"
"10974","METTL22"
"10975","NPLOC4"
"10976","CDK5RAP3"
"10977","LOC100289509"
"10978","SUPT16H"
"10979","C11orf67"
"10980","RASEF"
"10981","PSMA6"
"10982","MRI1"
"10983","SNTA1"
"10984","PRKRIP1"
"10985","LOC283788"
"10986","LARP7"
"10987","DNAJB6"
"10988","PCDHB6"
"10989","LOC440028"
"10990","GPATCH1"
"10991","ADA"
"10992","ATP6V1C1"
"10993","MBLAC1"
"10994","CCDC25"
"10995","SRSF1"
"10996","CD82"
"10997","TMEM45A"
"10998","CYB5R2"
"10999","SHISA9"
"11000","CDR1"
"11001","ARHGEF9"
"11002","LINC00240"
"11003","TUT1"
"11004","C7orf57"
"11005","STT3B"
"11006","CLEC4E"
"11007","AGPAT4-IT1"
"11008","ZNF711"
"11009","ICAM4"
"11010","SLC30A4"
"11011","ZW10"
"11012","ITLN2"
"11013","ADAP2"
"11014","HTATSF1"
"11015","ZNF554"
"11016","MAP3K15"
"11017","RPAIN"
"11018","DMP1"
"11019","CCDC17"
"11020","DENND4B"
"11021","KRIT1"
"11022","MIER1"
"11023","SRMS"
"11024","GDF11"
"11025","FBXL15"
"11026","RNFT2"
"11027","PSMC4"
"11028","SPHK1"
"11029","SNX3"
"11030","LHB"
"11031","PARG"
"11032","ZNF277"
"11033","YWHAQ"
"11034","RAB35"
"11035","TFF1"
"11036","STRN4"
"11037","ASCL2"
"11038","SOD2"
"11039","MAPK1IP1L"
"11040","SMC2"
"11041","TMEM62"
"11042","CCDC159"
"11043","SFTPD"
"11044","ACCN4"
"11045","GTF2A1"
"11046","ARFIP2"
"11047","MED7"
"11048","PACS2"
"11049","GMPR2"
"11050","NBR2"
"11051","RPS3A"
"11052","KDSR"
"11053","AZI2"
"11054","WSB2"
"11055","FAM113A"
"11056","SMCR7"
"11057","KLHDC10"
"11058","MIR31HG"
"11059","GLG1"
"11060","SRSF7"
"11061","ACOT4"
"11062","ERBB4"
"11063","GOLGA6L5"
"11064","CCDC23"
"11065","SUSD4"
"11066","ABCF1"
"11067","C19orf77"
"11068","LOC283038"
"11069","UBE2O"
"11070","C1orf182"
"11071","SNX29"
"11072","RGS17"
"11073","ZNF573"
"11074","SLC16A10"
"11075","INTS12"
"11076","PRDM5"
"11077","ZNF619"
"11078","CXCR1"
"11079","RALBP1"
"11080","SLC16A14"
"11081","KIAA1107"
"11082","TDRD7"
"11083","JDP2"
"11084","ASAH2"
"11085","TRIM28"
"11086","PAM"
"11087","ELFN1"
"11088","ADPGK"
"11089","NOMO3"
"11090","STARD3"
"11091","LRRC41"
"11092","GLB1L"
"11093","CAV2"
"11094","RTN4RL2"
"11095","ZNF341"
"11096","EIF4EBP2"
"11097","RNF123"
"11098","C1orf150"
"11099","XKR6"
"11100","ACTA1"
"11101","DENND4A"
"11102","KGFLP1"
"11103","ZNF273"
"11104","ZIC1"
"11105","LRRC8B"
"11106","KIAA0415"
"11107","TCEAL4"
"11108","ATP8B3"
"11109","RASD1"
"11110","MAP3K7"
"11111","ANKRD34C"
"11112","ZNF673"
"11113","TTI2"
"11114","SGK1"
"11115","C2orf15"
"11116","FAHD2A"
"11117","TMEM185B"
"11118","FAM124B"
"11119","AACS"
"11120","CPSF3"
"11121","CA8"
"11122","C12orf74"
"11123","C2CD4B"
"11124","FBXO38"
"11125","FLJ27352"
"11126","CWC22"
"11127","MSI2"
"11128","NOL9"
"11129","ARFGEF1"
"11130","GLB1"
"11131","METTL4"
"11132","GAS2L3"
"11133","OPN3"
"11134","TEX11"
"11135","CXCL6"
"11136","TRNT1"
"11137","MARCH3"
"11138","CCDC36"
"11139","TARS"
"11140","GOSR1"
"11141","MS4A7"
"11142","AMT"
"11143","TIPRL"
"11144","TCERG1"
"11145","YME1L1"
"11146","U2AF2"
"11147","PPIG"
"11148","PARPBP"
"11149","TMEM9B"
"11150","CAMK2N1"
"11151","TRIM9"
"11152","PGAP2"
"11153","C12orf4"
"11154","ECEL1P2"
"11155","HDAC10"
"11156","ZRANB1"
"11157","ST13"
"11158","FSTL5"
"11159","ZUFSP"
"11160","SLC17A7"
"11161","SNX31"
"11162","SOX30"
"11163","LOC440944"
"11164","LOC100507472"
"11165","SBNO1"
"11166","PPP3R1"
"11167","TMSB15A"
"11168","DAG1"
"11169","ZNF567"
"11170","LUZP2"
"11171","RPS23"
"11172","COX19"
"11173","NODAL"
"11174","TRABD"
"11175","C1orf198"
"11176","LOC100505495"
"11177","JARID2"
"11178","FAM188A"
"11179","ATP6V1C2"
"11180","MGC70870"
"11181","ARHGAP35"
"11182","HDAC5"
"11183","TNNC1"
"11184","ZFP36L1"
"11185","NDUFAF4"
"11186","IRX3"
"11187","MED12L"
"11188","MTERFD3"
"11189","SRP72"
"11190","CCDC164"
"11191","MCM10"
"11192","LOC440910"
"11193","BCS1L"
"11194","SCRN3"
"11195","NCAPH"
"11196","TOM1L1"
"11197","VEGFB"
"11198","GGA1"
"11199","APOA1"
"11200","UGT1A6"
"11201","GBAP1"
"11202","ADAM17"
"11203","PBK"
"11204","CRYZL1"
"11205","LOC157381"
"11206","ZNF830"
"11207","SUGT1"
"11208","CSRNP1"
"11209","LOC400643"
"11210","PCGF5"
"11211","IPP"
"11212","MMP28"
"11213","SLC46A1"
"11214","AIMP2"
"11215","LARP4"
"11216","IFT43"
"11217","ACTR1A"
"11218","FLVCR1"
"11219","DCAF5"
"11220","KIAA1432"
"11221","SPG11"
"11222","BAK1"
"11223","ST6GALNAC4"
"11224","PRKD2"
"11225","IFNAR1"
"11226","DHDH"
"11227","FAM35A"
"11228","SCAMP5"
"11229","PSME4"
"11230","DUSP8"
"11231","SMARCA1"
"11232","H2BFWT"
"11233","DDX18"
"11234","KLHL26"
"11235","TRMT1"
"11236","ATP9A"
"11237","C2orf16"
"11238","LOC100286793"
"11239","KBTBD8"
"11240","SEP15"
"11241","SLC30A8"
"11242","NR4A1"
"11243","IAH1"
"11244","TATDN3"
"11245","PIGT"
"11246","HEATR6"
"11247","FSIP1"
"11248","PPP1R16A"
"11249","PML"
"11250","SGOL2"
"11251","SH3BP5L"
"11252","GUSBP4"
"11253","WWTR1"
"11254","RPL5"
"11255","SERHL2"
"11256","KIAA0319"
"11257","KCNC3"
"11258","CG030"
"11259","RAB11FIP5"
"11260","MTMR14"
"11261","ARL13B"
"11262","LYAR"
"11263","SLC36A4"
"11264","CNTD2"
"11265","CYP2D7P1"
"11266","TTF1"
"11267","GLI4"
"11268","LOC100130890"
"11269","ESYT3"
"11270","MTRNR2L1"
"11271","SH2B1"
"11272","C5orf46"
"11273","HCN3"
"11274","LOC100507178"
"11275","PLCE1"
"11276","SLC25A13"
"11277","MRPL19"
"11278","FUT11"
"11279","SRRM5"
"11280","FAM203A"
"11281","LOC728752"
"11282","ANKRD36B"
"11283","C6orf89"
"11284","PFDN5"
"11285","ATP10D"
"11286","ZNF551"
"11287","RARS"
"11288","LOC100506710"
"11289","ATP6V0A4"
"11290","NAPG"
"11291","LOC595101"
"11292","INHA"
"11293","RAB3B"
"11294","ZNF680"
"11295","MATK"
"11296","HMGN4"
"11297","C2CD4D"
"11298","HELQ"
"11299","SREK1IP1"
"11300","KCTD1"
"11301","TIGD1"
"11302","LOC645249"
"11303","NYAP1"
"11304","FAM58A"
"11305","HES7"
"11306","C6orf62"
"11307","VTCN1"
"11308","RGNEF"
"11309","C5orf51"
"11310","INADL"
"11311","ZDBF2"
"11312","DCBLD1"
"11313","UGCG"
"11314","C14orf118"
"11315","TELO2"
"11316","POLL"
"11317","SIGLEC8"
"11318","RPS13"
"11319","SYK"
"11320","INVS"
"11321","ATP5L"
"11322","WASH7P"
"11323","SNAP29"
"11324","RASSF10"
"11325","NR2E3"
"11326","KRTAP4-1"
"11327","SNHG4"
"11328","LOC399815"
"11329","BBS5"
"11330","CRCP"
"11331","WDR76"
"11332","XKR9"
"11333","UGP2"
"11334","TMEM161A"
"11335","TUBBP5"
"11336","EXO1"
"11337","PTTG1IP"
"11338","GMPPA"
"11339","MAGEB2"
"11340","SCYL2"
"11341","LOC401010"
"11342","GPS2"
"11343","GALNT1"
"11344","C12orf10"
"11345","KLHL17"
"11346","HCP5"
"11347","MAP3K11"
"11348","IL10RB"
"11349","RRN3"
"11350","LOC100506368"
"11351","AASS"
"11352","GP6"
"11353","GPATCH2"
"11354","ARMC1"
"11355","STAG3L4"
"11356","CXCL1"
"11357","ASB8"
"11358","MLC1"
"11359","CCT2"
"11360","POLR1B"
"11361","GKAP1"
"11362","ZNF564"
"11363","MUTYH"
"11364","ATP13A1"
"11365","RAB4A"
"11366","PSMD3"
"11367","SLC4A2"
"11368","NDUFS3"
"11369","NGEF"
"11370","TMEM138"
"11371","RHBDF2"
"11372","LOC284889"
"11373","TTL"
"11374","LOC653712"
"11375","ADRB2"
"11376","SPOP"
"11377","FLNC"
"11378","C1orf94"
"11379","FMR1"
"11380","IRAK1"
"11381","CXorf28"
"11382","TCP11L2"
"11383","HIF1A"
"11384","NKAPP1"
"11385","THG1L"
"11386","ADAT1"
"11387","GCA"
"11388","CASP12"
"11389","SNRNP70"
"11390","ZNF642"
"11391","GDA"
"11392","UNC93B1"
"11393","TDRD5"
"11394","JMJD8"
"11395","EP400NL"
"11396","ZNF586"
"11397","PTK7"
"11398","NEURL2"
"11399","GNE"
"11400","LCE3E"
"11401","FCGR3B"
"11402","TNFAIP8L3"
"11403","RBKS"
"11404","C20orf166-AS1"
"11405","TMED6"
"11406","FRA10AC1"
"11407","RHBDD3"
"11408","GAS5"
