"","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9","symbol"
"2790",3003,2825,3595,2566,3077,7673,5915,4448,4319,5969,4169,3063,2590,2359,2803,2699,4420,1868,"CARHSP1"
"2791",1836,319,2121,1094,2083,1098,2460,1130,670,790,1394,2149,921,639,1495,1644,1367,1592,"CARKD"
"2792",2771,811,1804,1626,2000,4475,1984,1705,2399,4894,5089,3302,1494,2392,2822,2561,2946,2257,"CARM1"
"2793",85,14,143,100,62,47,6,21,11,49,74,77,95,44,126,145,59,26,"CARNS1"
"2794",3041,940,3573,2714,4430,1731,2176,1743,1003,3159,2787,2128,3057,1145,1699,2499,1096,3599,"CARS"
"2795",1453,193,1849,845,1337,1038,1187,883,704,686,1373,1616,663,466,1115,789,785,1339,"CARS2"
"2796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CARTPT"
"2797",10,4,14,18,13,5,3,9,9,3,2,6,32,2,14,22,9,48,"CASC1"
"2798",25,29,47,41,163,94,52,48,72,47,49,48,185,36,17,85,46,125,"CASC2"
"2799",3899,1048,2795,2707,4921,4041,2153,1917,1672,7954,3455,3550,2345,2056,2353,3491,1451,5181,"CASC3"
"2800",1893,917,3422,3075,3129,1890,1563,2600,1951,2798,1001,1172,1090,943,876,903,968,3021,"CASC4"
"2801",696,415,512,627,1245,995,362,322,582,2391,769,564,320,352,465,365,355,867,"CASC5"
"2802",861,194,1147,1064,1183,533,522,846,303,1036,496,401,502,311,280,532,374,1056,"CASD1"
"2803",2038,682,2414,2859,4217,2047,2401,2003,1618,5199,1446,2366,1163,1190,642,3281,1289,4425,"CASK"
"2804",10,4,5,6,2,72,20,26,25,5,8,2,14,19,15,8,118,33,"CASKIN1"
"2805",1110,240,607,510,765,1672,432,376,694,1683,1304,804,759,1001,652,689,721,1492,"CASKIN2"
"2806",2343,240,2089,1337,884,261,608,856,676,1959,1034,318,860,442,628,1149,1469,614,"CASP1"
"2807",1015,352,1281,1634,356,2193,1150,810,568,2526,1400,247,330,743,603,681,756,97,"CASP10"
"2808",6,3,8,8,2,3,2,2,2,4,0,1,2,1,1,1,1,0,"CASP12"
"2809",54,5,2,434,258,3,107,58,4,107,9,10,3,8,1,12,16,45,"CASP14"
"2810",2945,1347,2337,2475,3249,3358,2953,1978,2302,5443,4888,2717,2952,2136,1869,2605,2329,4077,"CASP2"
"2811",3168,801,2905,4537,3668,3201,2520,1603,2341,8979,2884,3315,1788,1644,2161,2230,2375,3209,"CASP3"
"2812",2378,328,2759,1686,975,1254,893,1626,1180,2587,1223,360,670,375,1018,1081,1079,917,"CASP4"
"2813",18,1,38,1,4,1,5,5,2,19,10,8,20,1,3,14,2,3,"CASP5"
"2814",693,204,608,589,682,819,499,586,249,766,449,599,494,389,167,558,677,851,"CASP6"
"2815",1482,1436,2234,2052,2352,1360,2294,2454,1177,1873,2688,878,1354,1052,720,1337,1225,1416,"CASP7"
"2816",1518,299,1912,1637,758,2374,984,576,726,1929,1268,569,1225,695,817,1430,1086,1153,"CASP8"
"2817",1408,728,1367,1007,2609,1509,1490,1220,1495,4098,1569,1114,554,958,686,1002,624,3460,"CASP8AP2"
"2818",910,266,918,506,332,791,941,560,753,1068,776,755,451,574,792,491,598,543,"CASP9"
"2819",123,0,49,17,12,17,14,3,2,9,27,7,11,15,80,13,9,1,"CASQ1"
"2820",237,1,9,97,9,18,11,1,6,13,14,7,4,0,17,4,18,6,"CASQ2"
"2821",6,1,5,15,7,5,0,5,1,1,7,6,12,0,1,32,0,2,"CASR"
"2822",47,6,70,66,55,8,3,18,13,95,40,33,27,5,22,41,9,5,"CASS4"
"2823",9961,6047,10579,8016,8047,16286,18346,17357,18840,17607,10204,3008,6713,8699,7143,9399,6557,5178,"CAST"
"2824",2354,505,1424,2228,1768,1196,2110,1609,1405,4268,2799,2496,1015,1658,2889,2202,1483,1756,"CASZ1"
"2825",1715,573,1971,1532,1967,721,1459,863,1114,2742,760,693,1156,390,648,1195,407,2678,"CAT"
"2826",6,0,25,5,7,13,14,5,6,10,7,5,6,5,5,10,11,2,"CATSPER1"
"2827",44,68,140,77,22,82,150,50,21,100,172,132,57,116,96,9,116,41,"CATSPER2"
"2828",15,8,33,17,27,33,25,14,12,25,31,11,4,23,14,2,20,33,"CATSPER2P1"
