"symbol","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9"
"CFAP299",0,0,2,1,2,1,0,0,1,0,0,0,4,0,0,1,0,0
"CFAP300",64,8,58,42,126,5,17,18,28,7,8,26,118,7,11,165,6,397
"CFAP36",1068,293,1060,781,2067,890,952,894,1171,1145,660,674,1163,586,318,1150,889,2333
"CFAP410",1222,126,799,644,777,438,267,398,258,468,699,641,1001,289,772,743,903,855
"CFAP43",11,1,26,15,207,13,9,7,46,6,24,43,182,10,3,53,4,104
"CFAP44",668,300,714,682,1183,1442,1326,937,99,540,1917,1731,1241,1079,687,770,759,779
"CFAP45",49,9,26,29,17,35,25,37,45,32,21,11,105,17,25,34,46,29
"CFAP46",1,1,0,4,1,2,0,5,1,0,1,0,0,1,1,0,0,33
"CFAP47",1,2,0,9,0,1,0,208,62,80,1,17,0,36,0,0,3,0
"CFAP52",0,5,1,0,0,6,2,1,20,3,6,5,0,1,3,1,11,1
"CFAP53",16,5,40,22,81,100,42,40,20,36,21,24,95,19,24,17,62,39
"CFAP57",68,4,111,259,82,4,5,4,5,30,19,21,381,9,7,47,129,73
"CFAP58",17,4,11,174,48,17,14,7,13,23,15,11,37,5,12,42,16,15
"CFAP61",17,2,4,17,17,4,5,7,4,13,7,4,14,7,2,43,0,5
"CFAP65",0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,2,2,0
"CFAP69",125,22,124,134,141,35,88,107,69,81,121,123,159,73,60,117,86,104
"CFAP70",46,30,175,44,110,54,58,55,769,37,47,32,76,27,56,92,24,89
"CFAP73",13,8,13,10,18,45,30,8,10,7,15,25,18,14,16,8,11,14
"CFAP74",7,0,16,0,0,0,0,3,2,1,3,3,0,0,3,3,2,1
"CFAP77",0,0,3,2,6,1,0,0,4,0,0,2,42,0,0,0,0,1
"CFAP97",1929,658,1724,1573,4258,2077,1535,1235,1750,3815,1161,1449,1140,848,709,1659,1178,2306
"CFAP97D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CFB",5852,2201,8324,5205,1357,2116,1541,1437,370,1046,2759,455,813,2343,576,880,3288,743
"CFC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CFC1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CFD",773,161,773,339,163,480,214,278,959,424,798,944,428,425,288,375,587,56
"CFDP1",1053,883,1642,909,999,3758,2843,1942,1758,3925,1756,764,585,1302,831,591,668,1836
"CFH",7692,1690,6741,4429,770,950,1081,4752,1663,2103,6781,1338,1476,1162,870,311,922,1200
"CFHR1",0,10,2,3,0,0,7,0,0,23,0,0,1,0,0,0,0,0
"CFHR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
