"symbol","X2536.KZ.1.FS.count","X2536.KZ.10.FS.count","X2536.KZ.14.FS.count","X2536.KZ.16.FS.count","X2536.KZ.17.FS.count","X2536.KZ.18.FS.count","X2536.KZ.23.FS.count","X2536.KZ.25.FS.count","X2536.KZ.28.FS.count","X2536.KZ.33.FS.count","X2536.KZ.34.FS.count","X2536.KZ.4.FS.count","X2536.KZ.7.FS.count"
"UBXN4",3208,2524,2902,2122,1745,1186,3625,3733,3079,3604,3015,8035,2269
"UBXN6",561,694,321,488,286,244,329,748,463,408,649,567,510
"UBXN7",1833,4958,3056,2805,6499,914,3070,4950,5339,5121,3237,3892,4102
"UBXN8",145,67,26,22,72,32,51,54,110,65,117,178,43
"UCA1",82,238,47,21,91,34,2,24,30,73,36,111,9
"UCHL1",83,29,22,168,80,23,163,297,1064,7,10,21,684
"UCHL3",66,105,56,83,55,30,79,159,133,70,83,116,148
"UCHL5",989,606,720,614,618,278,645,915,618,789,956,302,760
"UCK1",236,485,158,245,192,117,240,312,204,235,217,314,317
"UCK2",1055,909,550,498,727,493,1148,816,1101,1225,1487,579,1203
"UCKL1",662,549,461,334,287,185,346,513,380,313,581,817,383
"UCKL1-AS1",51,81,18,18,142,37,13,31,148,25,201,47,55
"UCMA",0,0,0,1,5,2,0,1,0,4,1,0,0
"UCN",7,3,1,8,8,10,10,8,8,3,8,9,4
"UCN2",229,2054,38,799,278,105,61,1221,654,413,1184,496,912
"UCN3",0,0,2,1,7,6,2,1,0,2,3,68,2
"UCP1",0,1,1,4,17,12,1,2,1,0,4,3,0
"UCP2",870,1343,2431,397,542,387,1052,615,1462,1122,1095,2083,655
"UCP3",82,47,85,82,36,50,48,115,61,109,20,70,51
"UEVLD",560,465,408,247,352,217,694,579,387,381,295,564,534
"UFC1",300,393,276,223,199,95,293,351,393,333,576,284,306
"UFD1",1610,1445,1393,1210,1145,630,1462,1798,1541,1467,1319,2134,1417
"UFL1",783,619,605,447,436,125,806,943,526,624,752,890,780
"UFM1",995,1118,849,1022,483,352,1352,1615,862,829,740,803,712
"UFSP1",29,12,15,5,17,13,6,4,12,33,9,41,23
"UFSP2",254,333,233,248,240,98,339,411,247,162,388,188,418
"UGCG",2049,1817,2217,1203,2591,626,2497,1977,1722,1307,4590,595,1917
"UGDH",722,558,238,333,1703,224,737,630,927,432,1314,716,514
"UGDH-AS1",46,37,46,23,17,39,89,17,28,43,34,52,61
"UGGT1",2880,2758,2504,3319,2269,1008,2835,5353,2855,3056,2750,4083,1767
"UGGT2",704,690,343,509,270,257,1103,824,987,416,363,549,928
"UGP2",1512,1203,945,1920,981,335,774,3276,1075,819,1187,2181,816
"UGT1A1",35,0,238,9,147,212,38,6,702,9,37,842,2
"UGT1A10",20,0,0,5,3,15,0,0,0,0,0,58,5
"UGT1A11P",0,1,8,2,9,6,5,0,3,7,0,7,0
"UGT1A12P",0,2,0,2,4,6,0,0,0,0,4,4,0
"UGT1A13P",3,0,0,1,1,6,1,0,0,6,0,31,2
"UGT1A4",27,1,149,1,85,149,13,4,345,6,26,511,4
