"symbol","X2536.KZ.1.FS.count","X2536.KZ.10.FS.count"
"ADCY10P1","2.98099534999229","2.62274007780084"
"ADCY2","3.59094566671975","-0.142540522383054"
"ADCY3","6.46503990281597","6.4894039292973"
"ADCY4","5.08328963602349","3.81404704759928"
"ADCY5","3.10378743298669","0.402746918137816"
"ADCY6","5.84364047702793","5.59518575481464"
"ADCY7","6.31668693823759","6.04608977675725"
"ADCY8","0.0607056075357785","-2.49210214931233"
"ADCY9","5.77706388310355","4.75852828724315"
"ADCYAP1","-0.587948649664302","0.221549343216208"
"ADCYAP1R1","1.8395072974507","-0.751836081612446"
"ADD1","7.42559032332615","7.7951642963248"
"ADD2","2.76896759300089","0.0142803182713569"
"ADD3","6.68449261931158","6.39269418605603"
"ADD3-AS1","1.8395072974507","-0.88407510485039"
"ADGB","-1.15371371480717","-2.49210214931233"
"ADGRA1","-0.273771631706774","-2.12180284556078"
"ADGRA2","4.52035016588228","3.86128092819754"
"ADGRA3","5.95574270081474","4.18381052699769"
"ADGRB1","2.21970602610824","1.33245633382162"
"ADGRB2","0.846674499527131","1.74438123046714"
"ADGRB3","1.08548109603551","-1.58301039927926"
"ADGRD1","2.95111045320795","1.78849205267086"
"ADGRD2","-0.273771631706774","1.62781625633013"
"ADGRE1","-0.371088459230445","0.155713703604448"
"ADGRE2","4.56707253022709","4.05881156532498"
"ADGRE3","-0.709970034578899","-2.12180284556078"
"ADGRE4P","2.63753852663194","2.42733791698636"
"ADGRE5","4.40015336430534","5.57328881474461"
"ADGRF1","7.60142299462277","3.89697820549232"
"ADGRF2","1.70272209830839","-2.49210214931233"
"ADGRF3","0.612186412644319","1.60332892457141"
"ADGRF4","5.13071901192028","1.24017582388946"
"ADGRF5","4.56707253022709","3.81937227488945"
"ADGRF5P1","0.889322605494845","0.613600275755168"
"ADGRG1","6.35807930960882","6.75488368626265"
"ADGRG2","2.11578334366039","-0.415258958204372"
"ADGRG3","0.560341911985541","-0.751836081612446"
"ADGRG4","-1.54980588106307","-1.82739910409141"
"ADGRG5","2.67458646137366","3.74296863524367"
"ADGRG6","5.31798550847742","5.24758022983547"
"ADGRL1","4.32834957932443","6.81343222987235"
"ADGRL2","6.19871167432507","4.95276047412972"
"ADGRL3","2.8682517422007","3.42442363455491"
"ADGRL4","2.82496667391352","2.34111035293093"
"ADGRV1","2.23632131194867","5.29422204779309"
"ADH1B","1.04832523721141","-0.88407510485039"
"ADH1C","-1.15371371480717","-2.99154679673557"
"ADH5","7.0700316062293","7.01485570988998"
"ADH6","-2.47641855189715","-2.99154679673557"
"ADH7","6.99756480453709","5.10223722554804"
"ADHFE1","2.69876687959938","2.61050520992653"
"ADI1","5.89686627430133","5.71144875090711"
"ADIPOQ","-0.99015951693748","-2.99154679673557"
"ADIPOQ-AS1","-1.54980588106307","-0.88407510485039"
"ADIPOR1","7.04431371034813","6.84118462411791"
"ADIPOR2","5.96449519749878","6.35377143511924"
"ADIRF","5.20645930162365","5.41169591623319"
"ADK","5.05078102708706","5.0802249467953"
"ADM","4.58664229994639","6.40337152282285"
"ADM2","5.1830808642037","2.62274007780084"
"ADM5","1.86109512524086","0.661827389894465"
"ADNP","8.20558614107513","8.86419213100746"
"ADNP-AS1","-0.0968614115448922","-1.19162410141983"
"ADNP2","6.88484294921448","6.84510602820476"
"ADO","5.6292077448598","4.98865517927197"
"ADORA1","1.29031540019386","-0.751836081612446"
"ADORA2A","-0.587948649664302","-0.318510420703441"
"ADORA2A-AS1","-1.33820888159384","0.998690531651053"
"ADORA2B","3.65414032078132","4.74179853016088"
"ADORA3","0.930746088110351","2.67066763114182"
